epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,66.311,1.45363,1.83442,1.57949,0.3642,0.5,0.3644,0.13609,2.06634,1.95099,2.1085,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,67.9331,1.41912,1.58199,1.54292,0.39683,0.6,0.35825,0.1702,2.06269,1.96883,2.11312,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,69.893,1.36699,1.60585,1.49527,0.35147,0.6,0.35871,0.17598,2.09915,1.96534,2.08782,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,71.588,1.28749,1.45944,1.42493,0.51491,0.5,0.42907,0.14872,2.09825,2.07416,2.05355,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,73.156,1.42881,1.61255,1.58545,0.54729,0.5,0.43826,0.15023,2.18186,2.03547,2.08394,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,74.9885,1.19523,1.51794,1.40776,0.45553,0.6,0.42727,0.14088,2.23293,2.04633,2.11631,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,76.6456,1.35948,1.43631,1.4407,0.49877,0.5,0.41701,0.16227,2.16819,1.96985,2.06574,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,78.424,1.36924,1.50012,1.54508,0.58674,0.57017,0.50986,0.19952,2.08537,1.91829,2.00677,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,80.2788,1.28655,1.38849,1.4705,0.53459,0.6,0.5078,0.22831,2.09853,1.95506,2.04771,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,81.9484,1.17442,1.22793,1.37067,0.48006,0.6,0.44129,0.22677,1.97674,1.90878,1.9425,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,83.6265,1.20695,1.23449,1.40598,0.57376,0.6,0.47271,0.23696,1.78747,1.75854,1.82653,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,85.5038,1.18602,1.22967,1.34855,0.66437,0.6,0.53518,0.26684,1.80636,1.70531,1.79473,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,87.215,1.13595,1.21132,1.29145,0.71639,0.6,0.54494,0.26806,1.91511,1.7348,1.83358,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,88.8587,1.18227,1.07682,1.35607,0.64202,0.6,0.55278,0.28992,1.83101,1.62649,1.79157,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,90.7239,1.18523,1.24012,1.36048,0.6585,0.58039,0.56951,0.2744,1.95699,1.70657,1.91035,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,92.4201,1.33656,1.34512,1.42674,0.52741,0.6,0.52403,0.26813,1.99951,1.5861,1.95588,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,94.0845,1.21139,1.07391,1.3571,0.59751,0.5,0.53788,0.27067,2.0704,1.63149,2.00024,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,95.9169,1.04699,1.08185,1.26421,0.49638,0.6,0.55399,0.27444,2.1306,1.63361,2.0307,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,97.6454,1.11442,1.11242,1.27033,0.51151,0.4,0.46958,0.2434,2.02515,1.60828,2.00866,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,99.3118,1.01397,0.97056,1.2435,0.4175,0.6,0.47715,0.25071,2.09746,1.64528,2.06034,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,101.099,1.13973,1.19751,1.33404,0.49775,0.59505,0.4432,0.20816,2.17325,1.65043,2.11843,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,102.869,1.04461,0.97223,1.19621,0.38802,0.6,0.43939,0.21908,2.22086,1.65573,2.1554,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,104.55,1.13599,1.04527,1.28631,0.45253,0.7,0.53493,0.21816,2.27379,1.68233,2.12574,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,106.251,1.12754,1.01553,1.26853,0.46578,0.7,0.49853,0.21859,2.33347,1.76149,2.14963,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,108.016,1.02729,0.93434,1.23225,0.45803,0.7,0.51811,0.25353,2.2927,1.6915,2.10795,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,109.683,1.02715,0.93018,1.25502,0.66564,0.5,0.56133,0.25393,2.32085,1.60157,2.14477,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,111.467,1.02772,0.92092,1.27055,0.90838,0.5,0.63053,0.27157,2.19219,1.53827,2.06211,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,113.224,0.93876,0.8377,1.16822,0.94294,0.5,0.64158,0.27119,2.19877,1.5481,2.11345,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,114.983,0.99693,0.85601,1.19231,0.68397,0.6,0.64244,0.26427,2.13692,1.52569,2.17202,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,116.952,0.92229,0.7866,1.1864,0.84421,0.6,0.62309,0.2405,2.12701,1.47118,2.24335,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,118.95,0.98464,0.83981,1.20745,0.85671,0.5982,0.60934,0.24159,2.14686,1.56438,2.2817,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,120.943,1.02609,0.99337,1.22984,0.84814,0.6,0.62528,0.26022,2.19783,1.58426,2.29168,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,122.87,0.97214,0.86222,1.19982,0.9628,0.6,0.65843,0.25986,2.29529,1.54829,2.38883,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,124.777,1.00948,0.91635,1.22141,0.94792,0.6,0.66601,0.26328,2.30954,1.68649,2.35434,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,126.666,0.95502,0.86777,1.16241,0.93182,0.6,0.66774,0.24318,2.42089,1.57952,2.49133,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,128.494,1.01261,0.88904,1.23529,0.84015,0.6,0.66393,0.24118,2.59477,1.53084,2.63982,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,130.317,0.97635,0.83551,1.17828,0.829,0.6,0.64054,0.20099,2.55582,1.49293,2.60305,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,132.173,0.99461,0.8644,1.16989,0.83983,0.6,0.63636,0.19642,2.58253,1.57126,2.58921,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,134.054,0.87373,0.75782,1.12827,0.84012,0.6,0.61158,0.18632,2.56133,1.61106,2.56031,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,135.849,1.00022,0.85003,1.17013,0.84292,0.6,0.57686,0.17914,2.56661,1.6448,2.56277,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
